"CODE"	"FRANSE BENAMING"	"NEDERLANDSE BENAMING"	"DUITSE BENAMING"	"BEGINDATUM"	"EINDDATUM"
"41034"	"-"	"Lede"	"-"	"01.01.0001"	"31.12.9999"
"41035"	"-"	"Leeuwergem"	"-"	"01.01.0001"	"01.01.1971"
"41036"	"-"	"Letterhoutem"	"-"	"01.01.0001"	"22.04.1977"
"41037"	"-"	"Lieferinge"	"-"	"01.01.0001"	"01.01.1977"
"41038"	"-"	"Meerbeke"	"-"	"01.01.0001"	"01.01.1977"
"41039"	"-"	"Meldert (Vl.)"	"-"	"01.01.0001"	"01.01.1977"
"41040"	"-"	"Mere"	"-"	"01.01.0001"	"01.01.1977"
"41041"	"-"	"Moerbeke"	"-"	"01.01.0001"	"22.03.1977"
"41042"	"-"	"Moorsel"	"-"	"01.01.0001"	"01.01.1977"
"41043"	"-"	"Nederboelare"	"-"	"01.01.0001"	"01.01.1971"
"41044"	"-"	"Nederhasselt"	"-"	"01.01.0001"	"01.01.1977"
"41045"	"-"	"Neigem"	"-"	"01.01.0001"	"01.01.1977"
"41046"	"-"	"Nieuwenhove"	"-"	"01.01.0001"	"22.03.1977"
"41047"	"-"	"Nieuwerkerken (Aalst)"	"-"	"01.01.0001"	"01.01.1977"
"41048"	"-"	"Ninove"	"-"	"01.01.0001"	"31.12.9999"
"41049"	"-"	"Okegem"	"-"	"01.01.0001"	"01.01.1977"
"41050"	"-"	"Onkerzele"	"-"	"01.01.0001"	"01.01.1971"
"41051"	"-"	"Oombergen"	"-"	"01.01.0001"	"22.04.1977"
"41052"	"-"	"Oordegem"	"-"	"01.01.0001"	"01.01.1977"
"41053"	"-"	"Ophasselt"	"-"	"01.01.0001"	"22.03.1977"
"41054"	"-"	"Ottergem"	"-"	"01.01.0001"	"01.01.1977"
"41055"	"-"	"Outer"	"-"	"01.01.0001"	"01.01.1977"
"41056"	"-"	"Overboelare"	"-"	"01.01.0001"	"01.01.1971"
"41057"	"-"	"Pollare"	"-"	"01.01.0001"	"01.01.1977"
"41058"	"-"	"Ressegem"	"-"	"01.01.0001"	"02.02.1977"
"41059"	"-"	"Schendelbeke"	"-"	"01.01.0001"	"22.03.1977"
"41060"	"-"	"Sint-Antelinks"	"-"	"01.01.0001"	"02.02.1977"
"41061"	"-"	"Sint-Goriks-Oudenhove"	"-"	"01.01.0001"	"01.01.1971"
"41062"	"-"	"Sint-Lievens-Esse"	"-"	"01.01.0001"	"02.02.1977"
"41063"	"-"	"Sint-Lievens-Houtem"	"-"	"01.01.0001"	"31.12.9999"
"41064"	"-"	"Sint-Maria-Oudenhove"	"-"	"01.01.0001"	"17.11.1977"
"41065"	"-"	"Smeerebbe-Vloerzegem"	"-"	"01.01.0001"	"22.03.1977"
"41066"	"-"	"Smetlede"	"-"	"01.01.0001"	"01.01.1977"
"41067"	"-"	"Steenhuize-Wijnhuize"	"-"	"01.01.0001"	"02.02.1977"
"41068"	"-"	"Strijpen"	"-"	"01.01.0001"	"01.01.1971"
"41069"	"-"	"Velzeke-Ruddershove"	"-"	"01.01.0001"	"01.01.1971"
"41070"	"-"	"Viane"	"-"	"01.01.0001"	"22.03.1977"
"41071"	"-"	"Vlekkem"	"-"	"01.01.0001"	"01.01.1977"
"41072"	"-"	"Vlierzele"	"-"	"01.01.0001"	"22.04.1977"
